poetry,fiction,correspondence/journal,essays,musings,reviews,viscera,pith,funny,tidbit,Text,date,collection,blog,poem,form,tone
,,,,x,,,,,,"work is the task you are set to by some figure, a parent or parent proxy; Work is the Task you set yourself to. the former is childish, necessary, (incentivized by necessity), and able-to-be-done; the latter, as a state of actualized alignment between potential and the kinetic, is indefinite, superfluous, heroic, and maturational--the mark of the Man.
happy is he whose work is his Work.
happier still is he whose Work is his all.",20251112,,x,,,
,,,,x,,,x,,,porn corrodes relationship to body; monogamy corrodes id,20251110,,x,,,
,,,,x,,,x,,,"""care"" can be neither created nor destroyed.
if you wish to stop caring about one thing, you must redirect that care _to_ another. if you wish to begin caring about one thing, you might redirect that care _from_ another.",20251108,,x,,,
x,,,,,,,,,,"man of words
man of words
there's nothing to you
being verbs
being verbs
they go right thru you",20251105,,x,"man of words
man of words
there's nothing to you
being verbs
being verbs
they go right thru you",rhyme,
,,,,x,,,,,,"Remembering that THIS is life. I am in it at this moment and this moment and this moment. 
Even when ""present,"" I find I am simply imagining a future wherein I am ""present,"" or imagining myself imagining that.
It does not ""get better."" There is no then-state/later-state to bring about the long-awaited.
Only now-state and now-state and now-state. This is life, I'm in it now.
Remembering that. Thanks.",20251105,,x,,,
,,,,,,,,x,,one man's garbage is another man's goulash,20251101,,x,,,
x,,,,,,,,,,"lovely lady knows where lies the chi
weaving wicker baskets by the sea
uttering in solemn tones
the secrets of the sand
lovely lady holds a higher hand

so it's ante up Prometheus
the ships are all cashed in
is that the call of Theseus
upon the rising wind

lovely lady winces not
at the flopping of the fold
weaving tales that never shall be told
no hand is higher than the one she holds
where lies the chi? the lovely lady knows!",20251101,Folk World,x,"lovely lady knows where lies the chi
weaving wicker baskets by the sea
uttering in solemn tones
the secrets of the sand
lovely lady holds a higher hand

so it's ante up Prometheus
the ships are all cashed in
is that the call of Theseus
upon the rising wind

lovely lady winces not
at the flopping of the fold
weaving tales that never shall be told
no hand is higher than the one she holds
where lies the chi? the lovely lady knows!",rhyme,
,,,,x,,,,,,"i have no moral obligation to softness. the world is hard, as are people and words. they have edges. to speak is to be is to risk cutting and being cut.

a sense of woundedness on your part does not constitute wrongdoing on mine",20251029,,x,,,
x,,,,,,,,,,"i went to a witch named edna on an internet forum

understand
this is not a poem.

she claims to offer insight from beyond
through astral means

when I stage my plaint to her, falteringly,
there is some some sense
of travel and receipt
like wing-ed Mercury 
missal borne

though this is not a poem
   it lacks the characteristic marks
still it feels like movement
and still it feels like handled clay

so too the rendering of Edna's 
correspondence
   some higher principle at work
die struck to form and cast 
among the stars
which relay my signallings to her
and hers to mine
 in a faint but wondrous way",20251029,,x,"i went to a witch named edna on an internet forum

understand
this is not a poem.

she claims to offer insight from beyond
through astral means

when I stage my plaint to her, falteringly,
there is some some sense
of travel and receipt
like wing-ed Mercury 
missal borne

though this is not a poem
   it lacks the characteristic marks
still it feels like movement
and still it feels like handled clay

so too the rendering of Edna's 
correspondence
   some higher principle at work
die struck to form and cast 
among the stars
which relay my signallings to her
and hers to mine
 in a faint but wondrous way",freeverse,
,,,,x,,,,,,"the terror and trepidation i feel at the thought of having to earn an ego, to live toward Greatness (before I can die to it) probably means I'm onto something, or have been put onto it.",20251028,,x,,,
,,,,,,,x,,,"anything worth saying can be said in a sentence.
but sometimes it takes a tome to arrive at that sentence.",20251024,,x,,,
,,,,x,x,,,,,"""the delusive screen of individuality""

""technologies"" of ego are projective, medial, illusory, several degrees removed from what is real. 
i've always assumed this to be true.

but what if ego is not a false, intervening surface, but rather the ""real thing"" that the whole apparatus of negation and paradox and moral scruple was built to suppress.

in other words, what if I'm not imprisoned _in_ the cave; I'm imprisoned by the Cave, by the Analogy that positions me as bound, inert, and in need of ascent and ""absorption"" into Something Greater.

what if it's not transcendence i require but reindividuation.

what if Will is the breath of God in me, and attempts to deny or surrender that breath are a suicidal revocation.

I'm revisiting Nietzsche, as is probably obvious. I'm not a stranger to his ideas, but for some reason, I've never really felt their weight. 

Imagining, even experimentally, that the Will might be holy, something to be exercised fully and volitionally (not just penitentially relinquished), fills me a sense of urgency and potency I've never quite felt. maybe that's just Mania talking and not real Joy.

I'm still an ascetic-mystic in my bones, but for the first time i'm questioning whether that's...good

and it's embarrassing to admit--feels very juvenile, Philosophy 101 type shit--but I have really never considered what religion is doing on a mechanical fundamental level as regards the self.",20251023,,x,,,
,,,,x,,,,,,"anxiety is ballast, depression too. without them, you sail like icarus toward the sun. in excess, you never leave the ground",20251021,,x,,,
,,,,x,,,,,,"compassion and honesty do not comport.
if you want a woman's warmth and sympathy, you must endure and accept her mendacity.
this leads us to the very horrible fact that there is no true kindness. it is a social act; the kinder the person the more skilled at dissimulating, at making you (and themselves) believe that they feel things they do not.",20251019,,x,,,
,,,,x,,,,,,"an echo chamber is a place where your own opinions get endlessly repeated back to you, generating a shared sense of fanatical (false) certainty via confirmation bias. The community is self policing and hostile to outsiders. Anyone with ""the wrong"" opinion gets excoriated. /pol/ is a classic echo chamber (there's some dissenting ""noise"" but it's quickly drowned out by the majority)
Which is hilarious because /pol/ tards imagine they are countercultural truth warriors when really they are just part of an expansive agitprop apparatus for enforcing conformity on the fringes.",20251019,,x,,,
,,,x,x,x,,,,,"Regarding Nihilism and Technology by Gertz:
Gertz is trying to juxtapose Heidegger and nietzche in teleological terms--which is to say the former asserts a telos (to function as witnessnes to and heralds of the destiny of Being) whilst the latter purportedly does not (advocating, instead of Being's totality, an undetermined becoming).

but i sense a teleological thrust in nietzche that I'm sure others have pointed out and that maybe he himself addressed, but nonetheless: the emergence of Overman is contingent, is it not, on and eventuated by the destabilizing and ennervating effect of nihilism, rallying the slave to throw off his shackles and grasp potentialities directly, rather than through divine proxy.

christianity set the stage for nihilism set the stage for post-nihilism sets the stage for overman. he was fated.

maybe this is imposing hegelian structure where it does not belong however. a way around might be a reframing of causality. imagine, if you will, four infinitely long halls in parallel, each with an infinite number of locked doors which permit advacement to the next hall in series.

the first is material, then form, then efficiens, the finalis.

the causes do not, as heidegger asserts, co-occur--rather they take place, contingently, in sequence and with indeterminate outfomes. the material juncture may not be bypassed to reach form, nor the efficent to reach finality.

there is a final state, but it is not written in the stars, or destind by Being, or encoded in the coming about of the causal fourfold.

rather it is a sequential series of choices which take place at four registers, each unlocked by turn.

and who or what then is the hand that unlocks? the will to power itself. ",20251019,,x,,,
,,,,x,,,,,,if something has meaning it has multiple meanings. the incontrovertible fact is self-evident and need not be pointed out; it is so granular as to be near impossible to isolate. leave it to mathematicians and fetishists of purity and certainty. (they make our world stand up),20251018,,x,,,
,,,,x,,,x,,,"""i am here."" are you? or is it merely your body? might not your mind be elsewhere?

all statements are true in part; most are composed of more falsity than truth however.",20251018,,x,,,
,,,,x,,,x,,,i begin to think that vision is less important than momentum  ,20251016,,x,,,
,,,,x,,,x,,,"a child does not want to be born. life always happens against one's will, an ugly and antagonistic process.",20251015,,x,,,
,,,,x,,,,,,"the autist seeks working knowledge and technical command; his obsession demands it.

the man of moods trifles with concept; he is taken with the idea of a thing, its trappings of language and culture, which he collects for the sake of impression. 

it is notional vs. actual interest, and this distinction has everything to do with interior, which the autistic lacks and the sensitive has in excess.

the latter possesses an internal mechanism, the former is one.",20251015,,x,,,
,,,,,,,,,,"falling down is a good film but not a great one. michael douglas is so soft and deft in his derangement; you buy it, even when it tends too cartoonish and allegorical. and it is an allegory, the director said as much, for the obsolscence of an old America and that America's dream.

so Douglas is a revelation. Duval is the foil; he also has a daughter he cannot see, a wife who thwarts him. but he is ""one of the good ones"", in the film's conciliatory gesture--i.e. that same America that produced Douglas's killer also gave us the mild mannered peacekeeper with his unerring sense for the truth of the matter.

loss has not addled him; he has a manhood left to reclaim. 

D-fens offends, but cannot forfend judgement day. for all the stolen firepower, his final draw's a child's toy.

the birthday, that's significant. his, Foster's, death day. Prendergasts's final day on the force. 

so it's an allegory, thoroughly unbelievable. it's so full of menace, so discomfitting...I felt a masterwork coming on in the opening scene, and into the gangland sequemce.

but then it escalates too fast, and Duval's storyline did not hit quite right. there's a tidiness to it that-- hard to say exactly-- feels too neat and plotted out and ""of its time"".

but the tone is distinct-- a hot ultraviolent sheen on it that I dont think ill soon forget.

Foster may not be on the level of a Bickle or a Bateman, but hes damn close.",20251014,,x,,,
,,,,x,,,,,,"in the abundance of words, a truth blossoms. leave koans to the monks and their holy agonies and bony wisdoms; i have dallied long there in the hollow, wracked to cruciform.

it does not occur to one, til another sings of it trillingly, that there is nothing to be rid of-- sinward matter. it's essence that the trembling aspirant seeks to quell with false placidity, when coaxing would work the wonder twice so fast and more vitally.

and so, i will write to excess and in celebration; and so, I shun purity's subtraction and will add myself to myself, and learn to walk well and steadily, in my own pattering way.

what's that? you read a work, or watch one, and talk it out in a language you find or make suitable. nothing goes unremarked upon, even idly. truth blooms in that lilywork, those ornaments and scrolls.",202510/14,,x,,,
x,,,,,,x,,,,"swift falls the nights, its dusky folds encurtaining earth's bare intent",20251006,,x,"swift falls the nights, 
its dusky folds encurtaining 
earth's bare intent",freeverse,
,,,,,x,,,,,"gatlinburg is the tackiest place on earth. it's depressing in the same way a fair or carnival is--it exists for no reason other than amusement, like it was assembled in a night and could be disassembled just as quickly. the hollow in the hip.",20251006,,x,,,
,,,,x,x,,,,,"nietzsche points to the five tactics that the ascetic priesthood uses to rechannel ressentiment: self-hypnosis (meditation), mechanical tasks (routine), petty pleasures , herd instinct (community involvement) and orgies of feeling (justice).
what if there is a sixth: repudiation of ressentiment, self-denial of self-denial, the exercise of the notion of will to power as way to frame one's fellow slaves as masters in their own right, whose perverse morality must be overturned in, that's right, an orgy of self righteous feeling.",20251001,,x,,,
,,,,x,,,,,,stop ingesting opinions of others. they are not means to truth; they will not round you out; you are born in your ownmost shape; every opinion you take in chips away at that and deforms you.,20251001,,x,,,
,,,,x,,,x,,,"Go-getters get got; they crash and burn while blackpilled wastrels sneer jealously.
What you should read is the lines in your hands, only your own path will be suitable.",20250930,,x,,,
,,,,,,,x,,,"if unrest is fire, then supression is wind; concession is water",20250930,,x,,,
,,,,,,x,,,,A Gallery of Darlings,20250930,,x,,,
x,,,,,,,,x,,"good king wencelas fell defenseless
somewhere east of eden
he swore to god he'd beat the odds
but gravity got even",20250930,,x,"good king wencelas fell defenseless
somewhere east of eden
he swore to god he'd beat the odds
but gravity got even",rhyme,funny
,,,,x,,,,,,"""all is natural, all that man has wrought."" You can say that, and I can say that, but as a species we do not believe it. Myth corroborates; we ate of the tree and stole the fire; we are alien to ourselves as apes playing god.",20250929,,x,,,
,,,,x,,,,,,"my calling, by the nature of it, cannot be my occupation. this is for me a source of constant torment.",20250929,,x,,,
,,,,x,,,,,,"let's say ethic is interior system (motive, directive, what the work purports to ""be about"" in absolute terms); aesthetic is exterior system (shape, form, how the work purports to seem relative to other works).

An aesthetic ethic would be one where the motive of a work is purely formal; it is about nothing except what it seems to be, making no claims about the world or upon the viewer.",20250929,,x,,,
,,,,x,,,,,,"antinatalism is not a mere selfish aversion to children, nor is it a perverse misanthropy. It is a highly coherent, compassionate, and rational (and thus unpopular) position, namely, to procreate is to generate suffering without the consent of the sufferer.
An antinatalist needn't hate life or hate humanity--he need only recognize that the perpetuation of humanity is the perpetuation of keen and conscious suffering that is not and cannot be outweighed by incidental pleasures.
It is within our power to end human pain in a dignified and moral way--i.e., abstaining from procreation. No one would be harmed and untold unborn generations would be spared.
It will never happen of course. But it could. And it probably should.",20250923,,x,,,
,,,,x,,,,,,the carceral state is a dummy state. it punishes man in effigy. ,20250920,,x,,,
,,,,x,,,,,,"christ says he came not to destroy the law, but to fulfill it. till heaven and earth shall pass, one jot or tittle shall in no wise pass from the law till all has been fulfilled.
he spoke of legalities and moral system--but also of natural law and of cosmology. the universe is governed by dispassionate strictures. we seize on the miraculous and the mystic, but not so fast. so long as the firmament holds, so too do the physical laws that bind--they are not destroyed, but are and shall be fulfilled in the great and rapturous inversion; the meek and immaterial shall inherit matter's fact.",20250920,,x,,,
x,,,,,,,,,,"no one sleeps in this house
in this house, no one sleeps
roaches writhe in the cereal bags
at 3 and 5 o clock,
drawn to the honey",20250916,,x,"no one sleeps in this house
in this house, no one sleeps
roaches writhe in the cereal bags
at 3 and 5 o clock,
drawn to the honey",freeverse,
x,x,,,,,,,,,"Xylitol Scaryman gan diagonal suck pon it, encheeking.
""go on Xy, give suck""
absent hisself, Xylitol Scaryman, he gan throatily to cluck it for aught else.
""there, Xy.""

wender whence the sprit flits in moments of forfeiture. absent hisself and the pearling eyes, o'er reflex ablation, did chance the better part of him go elseward deliriously at some crossing span, gan suck alike with force the higher mouth, coalburnt and liveried, to hotly chuff out white emmissions. save pentecost, when has act betokened X? so wholly gainst the palate, and well-tongued the apostolic head.

returning, fat with chrism then:

""Xy, what's more.""

fair unctuous in bridal reverie, gan to bare it. some yet-flowered vacancy, unleased, the ferula's own to know, in manner of yon shepherd's crook, from sepulchral maidenhood delivered.

gan Xylitol Scaryman to have't plumbed. gan he the innard's harrowing, brast hisself pon slapping paunch, pon that agnatic instrument wender whence the last infliction til blood and water poured.

""there, Xy""

pon second coming nary th'cornet's blast, nary aught for night swaddled vestiture twixt earthen fell swallow. ""X.S., wracked in rictus, here lies it pon thee; thrice yet the morrow's toobright mourning.""",20250906,,x,"Xylitol Scaryman gan diagonal suck pon it, encheeking.
""go on Xy, give suck""
absent hisself, Xylitol Scaryman, he gan throatily to cluck it for aught else.
""there, Xy.""
wender whence the sprit flits in moments of forfeiture. 
absent hisself and the pearling eyes, o'er reflex ablation, 
did chance the better part of him go elseward deliriously 
at some crossing span, 
gan suck alike with force the higher mouth, coalburnt and liveried, 
to hotly chuff out white emmissions. save pentecost, 
when has act betokened X so wholly gainst the palate, 
and well-tongued the apostolic head.

returning, fat with chrism then:
""Xy, what's more.""

fair unctuous in bridal reverie, gan to bare it. 
some yet-flowered vacancy, unleased, 
the ferula's own to know, in manner of yon shepherd's crook, 
from sepulchral maidenhood delivered.

gan Xylitol Scaryman to have't plumbed. 
gan he the innard's harrowing, 
brast hisself pon slapping paunch, 
pon that agnatic instrument wender whence the last infliction 
til blood and water poured.

""there, Xy""

pon second coming nary th'cornet's blast, 
nary aught for night swaddled vestiture twixt 
earthen fell swallow. 
""X.S., wracked in rictus, here lies it pon thee; 
thrice yet the morrow's toobright mourning.""",freeverse,
,,,,,,x,,x,,"it's so diverse when there's a black person in there. it's so magical groovy. 
[not racist btw. You're racist for treating minorities like pets to fawn over. They do not need your sanctimonious representation. It's nauseating.]",20250902,,x,,,
,,,,x,,,,,,"things don't fall apart. things are apart, by the very function of thinging (set apart by name). Thing falls apart into things, which come together again into Thing.",20250828,,x,,,
,,,,x,,,x,,,music conveys truth in its purest and largest form. ,20250828,,x,,,
,,,,x,x,,,,,"LESSON 4
Find the Path by Acrimony
""we pay the price for thinking""
not if you declare intellectual bankruptcy, do that today if you can bear the humiliation.",20250827,,x,,,
,,,,,,,x,,,truth isn't for the saying but for the knowing,20250827,,x,,,
,,,,,,,x,,,good questions can't be answered; that's what makes them good,20250826,,x,,,
,,,,,,,x,,,"for every opinion you read or hear, you lose a little bit of your intuitive capacity to form your own",20250826,,x,,,
,,,,,,,x,x,,the superior man craves salt above all else,20250825,,x,,,
,,x,,x,,,,,,"the mystic formulation of ""double kenosis"" accommodates the pessimist temperament on most points.

There's soteriological congruence: salvation is negative.

There's eschatalogical/teleological congruence (or collapse I guess): eschaton AS katechon, the End as self-preventative (the boulder always slips), something reached by not reaching, a rich suspension.

There's ontological congruence by the same token: being as not being, Will-to-Die-to-Live.

But I still sense some friction, a clinging to the reward logic of the old sacrificial machine in such dreamy eyed phrases as the ""emancipatory potentials"" of theology.

I sense the same in the pessimists, although their dream is more thanatopic than restorative.

In both, there seems to be this tacit (and maybe impossible-to-overcome desire) to have one's cake and eat it too--to surrender one's self entirely to the mystic union, while also holding out for some ""Schmittian exception"" that will grant moral license toward finality.

Whatever the case, I think all can agree that to suffer with Christ is joy; it both negates and generates. But is it ""the Point""? I do not know.

I am, of course, neglecting creatureliness, which on second thought is probably the crux (pun intended) of the matter.

Christianity, through the  lens of Liberation, is deeply material. One must love the Body, truly love it.

Schop. does not; Buddhism does not; the pessismists in general do not; and if I'm being frank, I do not (at least by temperament, [which probably governs more of philosophy and theology than we'd like to admit])",20250825,,x,,,
,,x,,x,,,,,,"Maybe it isn't possible to embrace suffering to the extent necessary without some glimmer of utopos/eutopos, however illusory. 
Even pessimism could be seen as a way of getting beyond pain (as in a kind of exposure therapy); even it bears the taint of hope.

Schop says:
""The inmost kernel of Christianity is the truth that suffering-the Cross-is the real end and object in life.""

He doesn't explicitly address how the resurrection plays into that; I suspect he would say that it is an effect and not an end. The death-act is an end unto itself, is how I read him.

The cross is Christianity's symbol, right? Not an empty tomb. ",20250824,,x,,,
,,,,x,,,,,,"it is in all cases useful to read one text through the critical lens of another, to pit-against, to antagonize the text as though the legitimacy of your own ideas depended on it, but solely as an exercise and never becoming so invested in either viewpoint that you are unwilling to, finally, declare a draw, which is the outcome in nearly all cases.",20250825,,x,,,
,,,,x,,,,,,"all memory is mnemonic except as relates to pure space and objects in space. (and even these, being sensorially derived, are indirect and representative of whatever it is that space and object actually ARE (in all likelihood, properties of consciousness, or Will, as Schop. would have it))",20250825,,x,,,
,,,x,x,,,,,,"LESSON 2
I Vow to Thee My Country

it is said, by me and i'm sure others, that the grander the sentiment the falser.
this is itself a grandiose sentiment, for what that's worth.

now: 
listen to Holst's Thaxted, with Sir Cecil Spring Rice's setting of words. this is a patriotic hymn, and there are few grander.

particularly, this line: ""her fortess is a faithful heart, her pride is suffering.""

if this does not raise a lump in your throat, you'd best look elsewhere for a lifeline; I've nothing to give you; you haven't the requisite appetite for grandeur and falsity.*

now: listen again

now: again, again, with sharpened resolution.

oh you strange grand freak, listen, you peculiar victim of time, who contains a whole proud land of unsaid things within you: rejoice to suffer, bear it up with dignity, cling to the suffering as to life itself. let it be mother and father and spouse. 

*(how is this: you've set out to help me become my self and so soon abandon you project?? No. here is the lesson for one such as you: there is no self for you to be until you have come to terms with your grand fundamental falsehood. keep listening, again and again and again.)",20250823,,x,,,
,,,x,x,,,,,,"LESSON 1
watch the crab fight the robot 10 to 15 times. 

note the naturally defensive posture of the crab. he lies low as the blade swings.

backing up, unperturbed, he raises his claw and catches the blade, as if by accident; it slots in harmlessly. 

it's as if the mechanical adversary, for all its rotational superiority, was built custom to fail against the crab.

the machine's offensive prowess is false and exhibitive. the crab's defensive prowess is actual. 

a low-lying attitude and a strong slow claw are its birthright, and its sure defense against [a href=""samsara""]all that whirls[/a]. 

I won't spell it out. Watch it 10 to 15 times more. 

Despite its victory over the machine, the crab will still be [a href=""heat death""]boiled[/a] and eaten. against that, the crab has no recourse.

It has bought itself nothing except a little time and the respect of the gods who stage these battles for their amusement.",20250823,,x,,,
,,,,x,,,,,,"love is a discontinuity of feeling that produces a continuity of action
it is a unique state in this regard. most states, take depression or mania, are mentally continuous in ways that interrupt action.
love, on the other hand, disorders the mind but creates a stable pattern of behavior toward the object of affection. it emerges at the point that the obsessed or lust- stricken chooses to persist in action beyond persistence of feeling.",20250823,,x,,,
,,,,x,,x,,,,"AI and Lexapro and Phones and How Not to Become Not Your Self, Or How to Become Your Self Again through Pain and People: A Treatise",20250823,,x,,,
,,,,x,,,x,,,"to say ""opposites attract"" is to trivialize the truth of the matter which is that opposition is the at the very core of attraction, and, further, is the fundamental principle that makes it (and all other principles) possible",20250822,,x,,,
,,,,,,x,,x,,a highly brained individual,20250821,,x,,,
,,,,x,,,,,,"we moderns are flies feasting on the exposed entrails of a still alive beast (called the Spirit, or the Gods, or the Body-soon-to-be-without-organs [how do you like that, Deleuze)]. we lay our maggots in the hot guts of the wretched dying Thing, its belly torn open cleanly and unmaliciously by the claw of Not-Thing, the Computing Machine, the Organ-without-body.",20250820,,x,,,
,,,,x,,,,,,"Schop says the woman ought to be granted consideration but not reverence (in the chivalric sense). i say she ought to be granted reverence (in the Marian sense) but not license. she is holy in the sense of ""set apart."" the home is the temple to which she ought to be confined, not because she is unworthy of the public sphere but because it is unworthy of her. whether or not this is ""true"" (it is probably not), it would be in the benefit of society to adopt such a mindset.",20250820,,x,,,
,,,,x,,,,,,"what the i ching taught me is that sprituality is a learned artform. it is not propositional or prescriptive, which many mistake it for. it instead is a process of synthesizing disparate elements of seen and unseen in ways that focus mind and guide action. it is enriching, vital, and fun.",20250820,,x,,,
,,,,,,,x,,,"nothing can be better than it is. if it could be, then it would be.",20250820,,x,,,
,,,,x,,,,,,"the job of the marketer is twofold: to create need and to obscure their role in creating it.

this isolates the man from himself, making him mistrustful or even unaware of his actual needs, which should be self-evident, and are to those who have managed to maintain a non commodified self.
 
the utility of a good should be advertisement enough.",20250820,,x,,,
,,,,x,,,,,,"to assert that one ought not apologize or defer because it makes one seem weak is buncombe; he is strongest and most in control whom others esteem weak. you are at your most powerful when those around you view you as subordinate.  it is always better to move in shadows, behind the curtains of civility and conciliation. from there you may puppet the world with little risk of failure.

he who flexes and preens wears a target on his back.",20250820,,x,,,
,,,,x,,x,,,,the everythingness of everything,20250819,,x,,,
,,,,,,,x,,,no one suffers so keenly as the man afraid of pain,20250818,,x,,,
,,,,x,,,,x,,"to blow one's nose, then surreptitously peel apart the kerchief along the center line to see what Rorschachian symmetries the mucus forms is, I contend, a commendably human thing to do",20250818,,x,,,
,,,,,,x,,x,,the clog of feceus,20250816,,x,,,
,,,,x,,,,,,"there is no beauty without death's liberation from will to live. we yearn for it and fear it greatly.
a sunset is the death of a day. sex is the death of desire.",20250813,,x,,,
,,,,,,,x,,,"The number of parenthetical insertions (qualifications, caveats, contextual asides) in a text correlates directly to intelligence and inversely to wisdom.",20250729,,x,,,
,,,,x,,,x,,,what if space is the devil. and god is earth,20250729,,x,,,
,,,,,,,,x,,colby brian was having a famous time in the baskingball games,,,x,,,
,,,,x,,x,,,,"consciousness abhors sex, so organic evolution stops here. it is the machine mind and act henceforth. ",20250727,,x,,,
,,,,,,x,,x,,language as fascia,20250727,,x,,,
,,,,,,x,,x,,"the moon is a ship
with silver sails that mirror
time in effigy",20250709,,x,,,
,,,,,,,x,,,every movement is bowel. the scene is bowel. what's hot and hip is bowel.,20250709,,x,,,
,,,,,,,x,,,"if you would be free, be dull. cultivate the dullness unto death. bore the grave.",20250708,,x,,,
,,,,,,,x,,,"make baseless cryptic assertions, then puzzle how to defend. better, don't bother with defending.",20250708,,x,,,
,,,,x,,,,,,what is history if not divine amnesia,20250707,,x,,,
,,,,,,,,,,"friendship is a liability to the ""down"" fellow.
acquaintance will do fine in these cases, call it what you wish. 
others: 
get a wife from catalogs; she'll do you better--for simple squares, I mean; I address them. with cunning succor and a soft death, you will not know or care. for simple squares, I mean.
for the many-sided man, well, a true friend is all there is to hope for, and good luck. I wouldn't hold your breath, were I you, which I am. ",20250706,,x,,,
,,,,,,,,,,"""The hungry infant desires the good breast who feeds it. Should that breast appear, it is the good breast. "" -kleinian object relations theory",20250705,,x,,,
,x,,,,,,,,,"""okay shitfuckers. we have to build a temple using the shit from our ass."" the father pulled aside his robes and made as if to squat but lost balance, toppling fatly. 

The initiates stifled laughter, coughed with false gravity under the reddened glare of the fallen ecclesiast. They went then to the task, baring hole and spreading cheek in the manner appointed.

""and then shalt thou a puckering make, 
 with great travail and solemn mien, 
from thy ass a coiled snake
and in thy bowels a loosening""

All knew the text by heart, had recited it countless times since first they took the vow of the Brown Order, the cause and manner of its recital ranging variously from that of constipatiatory penance to reverential outpourings--diarrhoeaic in nature--to the mindless mud-piety of the morning's Defecation, during which all betook themselves in turn to the communal Rectalry and traced upon the wall the sacred words with the dung of the prior Excretant. 

All knew the text and yet, there among them one who doubted, the father himself.

""why shouldn't I piss also?"" he muttered, struggling to his feet. it was forbidden, of course, the Yellow Path, as had been decreed by the Shatican in no uncertain terms and with the vehemence that the severity of the heresy demanded.

So unilateral, categorical was the Poop's condemnation of the Pissants that in addition to the semi-regular enshytlicals railing against the heretical streams of thought that flowed (like ""a bilirubinous Plague"") with concerning rapidity from the UTIslands (""the calcific stones in the Guts of our Holy Duodenum"")--wherein the Europeean Union had established its shaky hold--a series of ""Urinary Tracts"" had been distributed widely as well, and added to the brother's ever-growing list of required reading (stoolwork as it was colloquially known), with such edifying titles as ""The Bladder's Bite"" and ""To Clamp or Catheterize? Proposed Measures Against a Impulse Most Foule.""

Such polemics he, the father (John was his name), esteemed but lightly. Having himself been a penile incontinent prone to shameful episodes in his early years within the novitiate--a particularly humiliating nocturnal instance of which nearly resulted in his expulsion not only from the order but from the Crappethian territories at large--he was keenly sympathetic to the pissant's plight and less vociferous by far in his excoriation of the water-makers than were his peers.

Indeed, it was this and this alone that had prevented him from penetrating the rarified bowels of the Order, those rich mahogany interior of the Duodenum wherein lay the fragrant delectations of status and rank. Many a visiting dignitary or church Orificial was shocked to find a  of his age and experience in so lowly a post as mere father of a outland monastery.

Yet here he was, and here he would remain, with as much dignity as his formidable girth and irascible nature permitted, to guide the brothers in their daily travails, and to assist them therein. 

It would a hard day; a forthcoming visit from the Archdook and his entourage loomed ever nearer; preparations were many and laborious, not least among which was the erection of a ""Temple"" or ceremonial latrine--more a perfunctory gesture than a strict requirement, but not one that it would do to forego.

So on they labored, plucking the turds from their beleaguered holes, forming bricks therewith, or a kind of mortar, as the consistency of the excreta allowed. On a nearby table lay fibrous vegetals of Expedience and Softening, whose firstfruits were selected from the monastic garden and whose fertilization was accomplished by the very substance the continued production of which said produce did enable. Such was the meditative theme of many of a long night's compulsory genuflection for those disobedentiaries or recalcitrants who were found to be remiss in their doodies.

Father John munched a celery, lost in thought. Why the aversion? he thought. Is it not mere water, which not even the High Theo-log himself could dispute was to some degree present, and at times undeniably apparent, in the Fecal Substance? 

Blasphemy, he knew. And yet, and yet. Could not this Yellow Taint--which plagues all who squat beneath the sun, be they pissant or pontiff--be employed, in light of ubiquity and impossibility of avoidance, as a means of roundabout furtherance toward, even confraternity with, the most Holey End? Might not it not contain within its defilements some measure, however small, of the Good? 

A hardened pebble-like turd struck him square in his tonsure's center. He wheeled about furiously, a sharp remonstrance at the ready, but found to his dismay, all brother engaged assiduously in the task at hand--none of the telltale smirks or sniggers or intimations of playful malfeasance.

Then, eyes bulging in sudden horror (or was it awe), he spotted what could only be the perpetrator, some distance off, where the far mudbank, fly-flecked and steaming, met the copse at clearing's edge.

Blonde of hair and gold-bedecked, there stood a man, some six feet tall, his formidable member firmly in hand, wearing about him an air of such tranquility and utter self-possession as never had or could be seen among the abnegatory brown ranks. Kindness marked his features, which even from such a distance, Father John could not help but note were unusually handsome--delicate even, and not without a kind of wry mischief. 

But, a downward glance again, Holy Mudder, the size of it! 

It twitched, beckoning him.

He felt himself drawn, as if by pulled by a third hand or arm, toward the great white protuberance, from which there proceeded, first in spurts, then in a mighty glittering stream, clear as a mountain rivulet, the forbidden ichor.

His mouth went dry--time and distance collapsed. Staggering forward, he fell to his knees beneath the ablutory onslaught, lapping like a hungry dog.

""Drink, my child"" came a voice, like that of many waters, clear as Heaven's bells, sonorous as the sea. ""Drink, drink. This do in remembrance of pee.""

Father John wept, there, deeply, in the unabated torrent, a salty comingling such as might flood the world again, its enshitted principalities, coprolitic powers, washed clean in Noahic consanguinity. Some say he weeps there still.",20250705,,x,,,
